event_name,gps_time,catalog,network_snr,luminosity_distance,chi_eff,primary_mass,secondary_mass,primary_mass_lower,primary_mass_upper,secondary_mass_lower,secondary_mass_upper,mass_unit,system_type,total_mass,mass_ratio
GW240109_050431-v1,1388811889.8,GWTC-4.0,10.4,1450.0,-0.08,29.1,18.0,-6.1,6.9,-3.8,4.7,M_sun,BBH,47.1,0.6185567010309279
GW240107_013215-v1,1388626353.7,GWTC-4.0,9.6,5700.0,0.35,60.0,32.0,-18.0,27.0,-17.0,21.0,M_sun,BBH,92.0,0.5333333333333333
GW240105_151143-v1,1388502721.2,GWTC-4.0,25.9,,,,,,,,,,Unknown,,
GW240104_164932-v1,1388422190.6,GWTC-4.0,14.8,1890.0,0.09,42.3,32.3,-6.7,9.1,-7.9,7.3,M_sun,BBH,74.6,0.7635933806146572
GW231231_154016-v1,1388072434.7,GWTC-4.0,13.4,1060.0,-0.03,22.5,17.2,-3.2,5.2,-3.0,2.8,M_sun,BBH,39.7,0.7644444444444444
GW231231_120147-v1,1388059325.6,GWTC-4.0,11.3,,,,,,,,,,Unknown,,
GW231230_170116-v1,1387990895.0,GWTC-4.0,8.2,5600.0,-0.22,53.0,35.0,-14.0,30.0,-13.0,15.0,M_sun,BBH,88.0,0.660377358490566
GW231226_101520-v1,1387620938.3,GWTC-4.0,34.7,1160.0,-0.08,40.0,35.3,-2.6,4.1,-4.7,2.8,M_sun,BBH,75.3,0.8825
GW231224_024321-v1,1387421020.0,GWTC-4.0,14.0,950.0,-0.01,9.3,7.32,-1.1,2.2,-1.35,0.99,M_sun,BBH,16.62,0.7870967741935484
GW231223_202619-v1,1387398397.0,GWTC-4.0,10.0,890.0,0.1,11.1,8.3,-1.6,3.7,-1.9,1.4,M_sun,BBH,19.4,0.7477477477477479
GW231223_075055-v1,1387353073.3,GWTC-4.0,9.4,960.0,0.07,12.0,6.8,-2.9,6.9,-2.1,2.0,M_sun,BBH,18.8,0.5666666666666667
